input,output,category,confidence
ayúdame a registrarme,"¡Claro! Te guío paso a paso: 1) Ve a /auth, 2) Haz clic en 'Registrarse', 3) Ingresa tu email, 4) Crea una contraseña segura, 5) Completa datos adicionales, 6) Confirma tu registro.",authentication,
cómo entro,"Para entrar: 1) Ve a /auth, 2) Si tienes cuenta, usa el formulario de 'Iniciar Sesión', 3) Si no tienes cuenta, primero regístrate, 4) Una vez dentro, accederás a tu panel personal.",authentication,
quiero hacer sign in,"Para hacer sign in (iniciar sesión) ve a /auth, completa el formulario con tu email y contraseña, y accederás a tu cuenta con todo tu progreso y configuraciones guardadas.",authentication,
puedo usar mi rostro para entrar,¡Sí! Tenemos reconocimiento facial como opción avanzada de autenticación. Ve a /auth y busca la opción de 'Autenticación Facial' para configurar esta funcionalidad innovadora.,authentication,
ingresar con reconocimiento facial,"El reconocimiento facial está disponible en /auth como método de autenticación avanzado. Primero debes configurarlo en tu perfil, luego podrás usarlo para ingresar de forma rápida y segura.",authentication,
acceder a mi usuario,"Para acceder a tu usuario ve a /auth, ingresa tus credenciales en el formulario de inicio de sesión, y accederás a tu perfil personal con todos tus datos, progreso y configuraciones.",authentication,
crea una cuenta nueva,"Para crear una cuenta nueva: 1) Ve a /auth, 2) Selecciona 'Registrarse', 3) Completa todos los campos requeridos, 4) Acepta términos y condiciones, 5) Confirma tu email si es necesario.",authentication,
no recuerdo cómo se inicia sesión,"¡No te preocupes! Para iniciar sesión: 1) Ve a /auth, 2) Busca el formulario 'Iniciar Sesión', 3) Ingresa tu email y contraseña, 4) Si olvidaste tu contraseña, usa 'Recuperar Contraseña'.",authentication,
guíame para entrar,"Te guío paso a paso: 1) Dirígete a /auth, 2) Si tienes cuenta, completa el formulario de login, 3) Si no tienes cuenta, regístrate primero, 4) Una vez dentro, explora tu panel personal.",authentication,
abrir el login,El login se abre en /auth donde encontrarás el formulario de inicio de sesión. Ingresa tu email y contraseña para acceder a tu cuenta y comenzar tu experiencia de aprendizaje.,authentication,
quiero autenticarme,"Para autenticarte ve a /auth donde tienes múltiples opciones: login tradicional con email/contraseña, reconocimiento facial, o crear una cuenta nueva si no tienes una.",authentication,
llévame a mi panel,"Te dirijo a tu panel personal (/dashboard) donde verás tu progreso completo, cursos activos, estadísticas de aprendizaje y actividades recomendadas personalizadas para ti.",dashboard,
qué actividades tengo pendientes,"En tu dashboard (/dashboard) encontrarás todas tus actividades pendientes: lecciones por completar, ejercicios de gestos recomendados y cursos que puedes continuar.",dashboard,
mostrar mi tablero,"Tu tablero personal está en /dashboard donde tienes una vista completa de tu experiencia: progreso, estadísticas, cursos activos y recomendaciones personalizadas.",dashboard,
ir al dashboard,"Te llevo al dashboard (/dashboard), tu centro de control personal donde puedes ver todo tu progreso, acceder a cursos y revisar tus estadísticas de aprendizaje.",dashboard,
quiero revisar mi progreso,"Para revisar tu progreso ve a /dashboard donde encontrarás gráficos detallados, porcentajes de completado, tiempo invertido y tu evolución en cada área de matemáticas.",dashboard,
ver mis estadísticas,"Tus estadísticas completas están en /dashboard: precisión en reconocimiento de gestos, tiempo de estudio, cursos completados, logros obtenidos y análisis de tu rendimiento.",dashboard,
dónde están mis métricas,"Todas tus métricas están centralizadas en /dashboard: métricas de aprendizaje, estadísticas de gestos, progreso por curso y análisis de tu desempeño académico.",dashboard,
enséñame el panel,"Te muestro tu panel en /dashboard donde tienes acceso a: resumen de progreso, cursos activos, estadísticas personales, actividades recomendadas y configuraciones de cuenta.",dashboard,
qué tengo para hoy,"En tu dashboard (/dashboard) verás las actividades recomendadas para hoy: lecciones sugeridas, ejercicios de gestos pendientes y objetivos diarios personalizados.",dashboard,
quiero ver mis avances,"Tus avances están detallados en /dashboard con gráficos interactivos que muestran tu progreso en cada curso, mejoras en reconocimiento de gestos y logros alcanzados.",dashboard,
abrir mi tablero principal,"Tu tablero principal se abre en /dashboard, tu espacio personal donde controlas toda tu experiencia de aprendizaje: cursos, progreso, estadísticas y configuraciones.",dashboard,
ir a la página central,"La página central es tu dashboard (/dashboard), el hub principal donde accedes a todos tus cursos, ves tu progreso y encuentras actividades personalizadas.",dashboard,
dame un resumen de mis cursos,"En /dashboard tienes un resumen completo de tus cursos: cuáles has completado, en cuáles estás trabajando, tu progreso en cada uno y recomendaciones de próximos pasos.",dashboard,
quiero ver mis actividades recomendadas,"Las actividades recomendadas están en tu dashboard (/dashboard), personalizadas según tu progreso: ejercicios de gestos, lecciones sugeridas y desafíos adaptados a tu nivel.",dashboard,
muéstrame mi progreso,"Tu progreso completo está visualizado en /dashboard con gráficos detallados, porcentajes de avance, tiempo invertido y comparativas de tu evolución en el tiempo.",dashboard,
panel de control,"Tu panel de control está en /dashboard donde tienes acceso completo a: gestión de cursos, configuraciones de cuenta, estadísticas de aprendizaje y herramientas personalizadas.",dashboard,
ir a mi área personal,"Tu área personal es /dashboard, tu espacio privado donde encuentras todo personalizado: progreso, cursos, configuraciones, estadísticas y recomendaciones únicas para ti.",dashboard,
mostrar acceso a cursos,"El acceso a todos tus cursos está en /dashboard donde puedes ver: cursos activos, completados, disponibles para empezar y recomendaciones basadas en tu progreso.",dashboard,
qué me recomiendas hoy,"En tu dashboard (/dashboard) encontrarás recomendaciones diarias personalizadas: lecciones sugeridas según tu progreso, ejercicios de gestos para practicar y objetivos alcanzables.",dashboard,
quiero practicar gestos,¡Perfecto! Ve a la sección de aritmética (/arithmetic) donde puedes practicar gestos matemáticos con tu cámara. El sistema reconocerá tus señas de números y operaciones en tiempo real.,arithmetic_gestures,
resolver sumas con la cámara,En /arithmetic puedes resolver sumas usando gestos con tu cámara. Muestra los números con tus dedos y el sistema los reconocerá para crear operaciones matemáticas interactivas.,arithmetic_gestures,
entrenar números con la mano,El entrenamiento de números con la mano está en /arithmetic. Usa tu cámara para mostrar números del 0-10 con tus dedos y el sistema aprenderá a reconocer tus gestos personalizados.,arithmetic_gestures,
hacer operaciones con gestos,"En /arithmetic puedes hacer todas las operaciones básicas (suma, resta, multiplicación, división) usando gestos con tus manos. La cámara detecta tus movimientos y los convierte en matemáticas.",arithmetic_gestures,
practicar aritmética,La práctica de aritmética está en /arithmetic donde combinas aprendizaje tradicional con reconocimiento de gestos. Es una forma innovadora e interactiva de aprender matemáticas.,arithmetic_gestures,
abrir la cámara para gestos,Para abrir la cámara para gestos ve a /arithmetic y activa la función de reconocimiento. Asegúrate de tener buena iluminación y que tu cámara esté funcionando correctamente.,arithmetic_gestures,
quiero entrenar mis señas,El entrenamiento de señas está en /arithmetic donde puedes enseñar al sistema tus gestos personalizados para números y operaciones. Cada persona tiene señas únicas que el sistema aprende.,arithmetic_gestures,
reconocer mis números con la mano,"En /arithmetic el sistema reconoce números del 0-10 que muestres con tu mano. Usa dedos claros, buena iluminación y posición frontal para mejor reconocimiento.",arithmetic_gestures,
dónde hago ejercicios con gestos,"Los ejercicios con gestos están en /arithmetic. Ahí encontrarás diferentes niveles de dificultad, desde números básicos hasta operaciones complejas, todo usando tu cámara.",arithmetic_gestures,
empezar a entrenar gestos,"Para empezar el entrenamiento de gestos ve a /arithmetic, activa tu cámara, y sigue las instrucciones para calibrar el sistema con tus gestos personalizados de números.",arithmetic_gestures,
probar el reconocimiento de la mano,Puedes probar el reconocimiento de mano en /arithmetic. El sistema detecta la posición de tus dedos y los convierte en números. Asegúrate de tener buena visibilidad de tu mano.,arithmetic_gestures,
puedo usar la cámara ahora,¡Sí! Ve a /arithmetic para usar la cámara inmediatamente. Verifica que tu navegador tenga permisos de cámara activados y que tengas buena iluminación para mejor reconocimiento.,arithmetic_gestures,
quiero practicar operaciones,"La práctica de operaciones está en /arithmetic donde puedes hacer sumas, restas, multiplicaciones y divisiones usando gestos. Es aprendizaje matemático interactivo y divertido.",arithmetic_gestures,
entrenamiento de gestos matemáticos,"El entrenamiento de gestos matemáticos está en /arithmetic. Aprende a usar tus manos para representar números y operaciones, creando una experiencia de aprendizaje única e innovadora.",arithmetic_gestures,
hacer cuentas con mis dedos,"En /arithmetic puedes hacer cuentas reales con tus dedos. El sistema reconoce tus gestos y los convierte en operaciones matemáticas, combinando métodos tradicionales con tecnología moderna.",arithmetic_gestures,
practicar multiplicaciones con la cámara,Las multiplicaciones con cámara están en /arithmetic. Usa gestos para representar los números y el sistema creará las operaciones de multiplicación automáticamente.,arithmetic_gestures,
no me reconoce la cámara,"Si no te reconoce la cámara en /arithmetic, verifica: 1) Permisos de cámara en el navegador, 2) Buena iluminación, 3) Posición frontal de la mano, 4) Que no haya obstáculos.",arithmetic_gestures,
el sistema no detecta mi mano,"Para mejorar la detección en /arithmetic: 1) Asegúrate de tener buena luz, 2) Mantén la mano en el área de detección, 3) Usa gestos claros, 4) Calibra el sistema si es necesario.",arithmetic_gestures,
ayuda con los gestos,"En /arithmetic tienes ayuda completa para gestos: tutoriales paso a paso, ejemplos visuales, calibración personalizada y tips para mejorar el reconocimiento de tus señas.",arithmetic_gestures,
quiero probar operaciones con señas,"Las operaciones con señas están en /arithmetic donde puedes experimentar con diferentes combinaciones de gestos para crear sumas, restas, multiplicaciones y divisiones interactivas.",arithmetic_gestures,
practicar divisiones con la cámara,"Las divisiones con cámara están disponibles en /arithmetic. Usa gestos para los números y el sistema creará operaciones de división, ayudándote a visualizar este concepto matemático.",arithmetic_gestures,
cómo entreno un gesto nuevo,"Para entrenar un gesto nuevo en /arithmetic: 1) Ve a la sección de calibración, 2) Selecciona 'Nuevo Gesto', 3) Repite el movimiento varias veces, 4) El sistema aprenderá tu seña personalizada.",arithmetic_gestures,
quiero enseñar al sistema mi mano,"En /arithmetic puedes enseñar al sistema tu mano específica. Cada persona tiene gestos únicos, y el sistema se adapta a tu forma particular de mostrar números y operaciones.",arithmetic_gestures,
hacer práctica con señas,"La práctica con señas está en /arithmetic con ejercicios progresivos: desde números básicos hasta operaciones complejas, todo adaptado a tu nivel y estilo de gestos.",arithmetic_gestures,
qué tan preciso es el reconocimiento,"El reconocimiento en /arithmetic tiene alta precisión cuando se usa correctamente: buena iluminación, gestos claros y calibración personalizada. La precisión mejora con la práctica.",arithmetic_gestures,
practicar ejercicios visuales,"Los ejercicios visuales están en /arithmetic donde combinas reconocimiento de gestos con elementos gráficos interactivos, creando una experiencia de aprendizaje multisensorial.",arithmetic_gestures,
hacer cálculos con los dedos,"En /arithmetic puedes hacer cálculos reales con los dedos. El sistema convierte tus gestos en números y operaciones, manteniendo la conexión natural entre manos y matemáticas.",arithmetic_gestures,
abrir la sección de aritmética,"La sección de aritmética se abre en /arithmetic donde encontrarás todas las herramientas para aprender matemáticas con gestos: cámara, ejercicios, tutoriales y práctica interactiva.",arithmetic_gestures,
ver mis modelos,"Tus modelos guardados están en /models donde puedes ver todos los gestos que has entrenado, su precisión, fecha de creación y estadísticas de uso. Es tu biblioteca personal de gestos.",saved_models,
dónde están mis gestos guardados,"Todos tus gestos guardados están centralizados en /models. Ahí encontrarás cada gesto que has entrenado con detalles como precisión, número de entrenamientos y última fecha de uso.",saved_models,
mostrar mis entrenamientos,"Tus entrenamientos están listados en /models con información completa: gestos aprendidos, sesiones de práctica, mejoras en precisión y evolución de tu aprendizaje gestual.",saved_models,
abrir la lista de modelos,"La lista completa de modelos se abre en /models donde puedes navegar por todos tus gestos guardados, organizados por fecha, precisión o frecuencia de uso.",saved_models,
quiero ver mis registros,"Tus registros de entrenamiento están en /models con historial detallado: cuándo entrenaste cada gesto, cuántas veces lo has usado y qué tan preciso es el reconocimiento.",saved_models,
enséñame mis gestos grabados,"En /models puedes ver todos tus gestos grabados con previsualizaciones, estadísticas de uso y opciones para editarlos, eliminarlos o mejorar su entrenamiento.",saved_models,
revisar mis modelos guardados,"Para revisar tus modelos guardados ve a /models donde tienes acceso completo a: gestión de gestos, estadísticas de rendimiento, opciones de edición y herramientas de optimización.",saved_models,
mostrar mis datos de entrenamiento,"Tus datos de entrenamiento están detallados en /models: número de muestras por gesto, precisión alcanzada, tiempo invertido y recomendaciones para mejorar.",saved_models,
ver configuraciones de gestos,"Las configuraciones de gestos están en /models donde puedes ajustar sensibilidad, calibrar reconocimiento, modificar parámetros y personalizar cada gesto según tus necesidades.",saved_models,
puedo borrar un gesto guardado,"¡Sí! En /models puedes borrar gestos guardados. Selecciona el gesto que quieres eliminar y confirma la acción. Ten cuidado, esta acción no se puede deshacer.",saved_models,
quiero actualizar mis modelos,"Para actualizar tus modelos ve a /models, selecciona el gesto que quieres mejorar y usa la opción 'Reentrenar'. Esto mejorará la precisión con nuevas muestras.",saved_models,
lista de mis entrenamientos,"La lista completa de entrenamientos está en /models organizada cronológicamente, mostrando progreso, mejoras en precisión y recomendaciones para optimizar cada gesto.",saved_models,
abrir la colección de gestos,Tu colección personal de gestos se abre en /models donde tienes una galería visual de todos tus gestos entrenados con opciones de gestión y estadísticas detalladas.,saved_models,
mis modelos personalizados,"Tus modelos personalizados están en /models, únicos para ti y adaptados a tu forma específica de hacer gestos. Cada modelo refleja tu estilo personal de señas matemáticas.",saved_models,
ver historial de gestos entrenados,"El historial completo está en /models con línea de tiempo de tu aprendizaje: cuándo empezaste cada gesto, cómo ha mejorado tu precisión y tu evolución gestual.",saved_models,
curso aritmética,"El curso de aritmética te enseña operaciones básicas usando gestos. Paso 1: Ve a 'Aritmética', Paso 2: Activa tu cámara, Paso 3: Selecciona la operación que quieres practicar.",courses,
curso gestos,"El curso de gestos te enseña a entrenar números del 0 al 9. Paso 1: Ve a 'Entrenar', Paso 2: Permite acceso a la cámara, Paso 3: Haz gestos con los números para practicar.",courses,
mi progreso,"Para ver tu progreso: Paso 1: Accede al 'Panel', Paso 2: Consulta tus tarjetas de progreso, Paso 3: Accede a cursos desde allí para continuar aprendiendo.",courses,
completar curso,"Para completar un curso, sigue todos los pasos indicados, practica regularmente con los ejercicios, y revisa tu progreso en el panel principal.",courses,
prerrequisitos,Algunos cursos requieren completar prerrequisitos. Revisa los requisitos en la descripción del curso y completa los cursos básicos antes de avanzar.,courses,
nivel principiante,"Para principiantes recomendamos empezar con aritmética básica, luego reconocimiento de gestos, y gradualmente avanzar a temas más complejos según tu progreso.",courses,
nivel avanzado,"Para usuarios avanzados tenemos cursos de matemáticas complejas, programación y machine learning. Revisa tu panel para ver todas las opciones disponibles.",courses,
certificados,Los certificados se otorgan al completar cursos exitosamente. Revisa tu panel de progreso para ver tus logros y certificaciones obtenidas.,courses,
tiempo curso,"El tiempo de cada curso varía según tu ritmo de aprendizaje. Los cursos básicos toman 1-2 horas, mientras que los avanzados pueden tomar varias semanas.",courses,
quiero aprender,"¡Perfecto! Te puedo ayudar a decidir qué aprender. ¿Te interesa: 1) Empezar con aritmética básica (/courses), 2) Practicar gestos con la cámara (/arithmetic), 3) Ver tu progreso (/dashboard), o 4) Explorar desde el inicio (/)?",ambiguous_cases,
enséñame algo,"¡Claro! ¿Qué te gustaría aprender? Puedo mostrarte: matemáticas básicas en /courses, práctica de gestos en /arithmetic, o darte un tour completo desde la página principal (/).",ambiguous_cases,
no sé dónde ir,"¡Te ayudo a orientarte! Según tu nivel puedes: 1) Empezar desde el inicio (/), 2) Ver tu progreso en /dashboard, 3) Practicar gestos en /arithmetic, o 4) Explorar cursos en /courses.",ambiguous_cases,
muéstrame opciones,"Aquí tienes las opciones principales: 1) Página de inicio (/) para conocer la plataforma, 2) Cursos (/courses) para aprender, 3) Práctica de gestos (/arithmetic), 4) Tu panel personal (/dashboard).",ambiguous_cases,
llévame a algún lugar,"¿A dónde te gustaría ir? Te sugiero: 1) Tu panel personal (/dashboard) para ver tu progreso, 2) Cursos (/courses) para aprender, 3) Práctica de gestos (/arithmetic), o 4) Inicio (/) para explorar.",ambiguous_cases,
estoy perdido,"¡No te preocupes! Te oriento: si eres nuevo, ve al inicio (/). Si ya tienes cuenta, revisa tu dashboard (/dashboard). Para aprender, explora /courses. Para practicar gestos, usa /arithmetic.",ambiguous_cases,
recomiéndame qué hacer,"Basado en tu situación te recomiendo: 1) Si eres nuevo: comienza en (/), 2) Si quieres aprender: ve a /courses, 3) Si quieres practicar: usa /arithmetic, 4) Para ver progreso: /dashboard.",ambiguous_cases,
qué se puede hacer aquí,"En esta plataforma puedes: 1) Aprender matemáticas con cursos interactivos (/courses), 2) Practicar con gestos y cámara (/arithmetic), 3) Seguir tu progreso (/dashboard), 4) Gestionar tus modelos (/models).",ambiguous_cases,
no entiendo cómo empezar,"Para empezar te guío paso a paso: 1) Si no tienes cuenta, regístrate en /auth, 2) Explora la plataforma desde /, 3) Ve tu panel en /dashboard, 4) Comienza un curso en /courses.",ambiguous_cases,
explícame las secciones,"Las secciones principales son: 1) Inicio (/) - presentación general, 2) Cursos (/courses) - aprendizaje estructurado, 3) Aritmética (/arithmetic) - práctica con gestos, 4) Dashboard (/dashboard) - tu progreso personal.",ambiguous_cases,
dame opciones para continuar,"Opciones para continuar: 1) Continuar curso activo en /courses, 2) Practicar gestos en /arithmetic, 3) Revisar progreso en /dashboard, 4) Explorar nuevos cursos, 5) Ver modelos guardados en /models.",ambiguous_cases,
qué puedo hacer ahora,"Ahora puedes: 1) Continuar donde te quedaste en /courses, 2) Practicar nuevos gestos en /arithmetic, 3) Revisar tu progreso en /dashboard, 4) Explorar contenido nuevo desde /.",ambiguous_cases,
guíame,"Te guío según tus necesidades: 1) Para aprender conceptos nuevos: /courses, 2) Para practicar habilidades: /arithmetic, 3) Para ver tu evolución: /dashboard, 4) Para gestionar entrenamientos: /models.",ambiguous_cases,
dónde debería ir primero,"Depende de tu objetivo: 1) Si eres completamente nuevo: empieza en (/), 2) Si quieres aprender: ve a /courses, 3) Si quieres practicar: usa /arithmetic, 4) Si quieres ver progreso: /dashboard.",ambiguous_cases,
no sé qué elegir,"Te ayudo a elegir: 1) Para aprendizaje estructurado: /courses, 2) Para práctica interactiva: /arithmetic, 3) Para seguimiento personal: /dashboard, 4) Para explorar todo: comienza en (/).",ambiguous_cases,
ir al inicio,"Te dirijo a la página de inicio (/) donde encontrarás la presentación de la plataforma, sus beneficios y cómo empezar. Es el punto de partida perfecto para nuevos usuarios.",navigation,
página principal,"La página principal (/) te muestra todo lo que puedes hacer: entrenar gestos, tomar cursos, ver tu progreso y más. Es tu punto de partida en la plataforma.",navigation,
quiero registrarme,Te llevo al sistema de autenticación (/auth) donde puedes registrarte o iniciar sesión. Incluso tenemos reconocimiento facial como opción avanzada.,navigation,
iniciar sesión,El acceso está en /auth donde puedes iniciar sesión con tu cuenta existente o crear una nueva. También hay opciones de autenticación avanzada.,navigation,
panel principal,"El panel principal (/dashboard) es tu centro de control donde ves tu progreso, actividades pendientes, estadísticas de aprendizaje y acceso rápido a todas las funciones.",navigation,
dashboard,"En el dashboard (/dashboard) tienes una vista completa de tu progreso, cursos activos, estadísticas de gestos entrenados y acceso directo a todas las herramientas de aprendizaje.",navigation,
aritmética,La sección de aritmética (/arithmetic) es donde entrenas gestos de números y practicas operaciones básicas como sumas y restas usando tus manos.,navigation,
ver modelos,"Los modelos guardados están en /models donde puedes ver todos los modelos de IA entrenados, sus estadísticas de precisión y rendimiento.",navigation,
cursos,"Los cursos están organizados por temas en /courses/:slug donde cada curso tiene lecciones interactivas, ejercicios prácticos y evaluaciones de progreso.",navigation,
administración,"El panel de administración (/admin) es para gestionar usuarios, contenido, estadísticas del sistema y configuraciones avanzadas de la plataforma.",navigation,
clima,"Lo siento, solo tengo información sobre esta plataforma educativa de matemáticas con gestos. No puedo ayudarte con el clima. ¿Te gustaría saber cómo funciona nuestro reconocimiento de gestos?",out_of_context,
noticias,"Mi especialidad es esta plataforma educativa, no las noticias. ¿Prefieres que te explique cómo entrenar números con gestos de manos?",out_of_context,
deportes,"No tengo información sobre deportes, solo sobre nuestra plataforma de matemáticas interactiva. ¿Te interesa conocer nuestros cursos de aritmética?",out_of_context,
cocina,Mi conocimiento se limita a esta plataforma educativa de gestos matemáticos. ¿Quieres aprender a resolver sumas usando tus manos?,out_of_context,
música,Solo puedo ayudarte con temas de esta plataforma educativa. ¿Te gustaría probar nuestro sistema de reconocimiento de gestos para matemáticas?,out_of_context,
películas,Mi función es asistir con esta plataforma de aprendizaje matemático. ¿Prefieres que te muestre cómo funciona la cámara para reconocer números?,out_of_context,
viajes,"No manejo información de viajes, solo de esta plataforma educativa. ¿Te interesa saber cómo entrenar gestos para operaciones matemáticas?",out_of_context,
política,"Mi especialidad es esta plataforma de matemáticas con gestos, no política. ¿Quieres conocer nuestros cursos interactivos?",out_of_context,
