input,output,category,confidence,source,original_index,converted_at
qué me ofrece este sistema,"Te ofrece: aprendizaje visual de matemáticas, reconocimiento de gestos en tiempo real, cursos estructurados, seguimiento de progreso personalizado, experiencia sin calculadora, y una forma innovadora de entender los números.",landing_page,1.0,comprehensive_training,17,2025-09-29T15:47:00.537064
cuál es la página de inicio,"La página de inicio es (/) donde encontrarás la bienvenida, presentación de la plataforma, beneficios, cómo funciona, testimonios y acceso directo a registro y login para comenzar tu experiencia.",landing_page,1.0,comprehensive_training,18,2025-09-29T15:47:00.537087
quiero ver la bienvenida,"La bienvenida completa está en la página de inicio (/) con una presentación visual de cómo funciona la plataforma, sus beneficios únicos y guías paso a paso para nuevos usuarios.",landing_page,1.0,comprehensive_training,19,2025-09-29T15:47:00.537109
dime los beneficios,"Los beneficios son: aprendizaje visual e interactivo, no necesitas calculadora, desarrollas coordinación mano-ojo, las matemáticas se vuelven divertidas, tienes seguimiento de progreso, experimentas con IA, y aprendes a tu ritmo.",landing_page,1.0,comprehensive_training,20,2025-09-29T15:47:00.537136
por qué debería usar esto,"Deberías usarlo porque transforma las matemáticas de aburridas a emocionantes, te permite aprender con gestos naturales, desarrolla habilidades tecnológicas, es accesible desde cualquier dispositivo, y hace el aprendizaje más memorable.",landing_page,1.0,comprehensive_training,21,2025-09-29T15:47:00.537162
cómo funciona esto,"Funciona así: 1) Activas tu cámara, 2) Muestras números con los dedos (0-9), 3) La IA reconoce tus gestos automáticamente, 4) Resuelves operaciones matemáticas, 5) Recibes feedback inmediato. ¡Todo en tiempo real!",landing_page,1.0,comprehensive_training,22,2025-09-29T15:47:00.537186
qué me enseña esta aplicación,"Te enseña matemáticas de forma revolucionaria: aritmética básica, operaciones con gestos, reconocimiento de patrones, coordinación visual-motora, y cómo la tecnología puede mejorar el aprendizaje tradicional.",landing_page,1.0,comprehensive_training,23,2025-09-29T15:47:00.537210
dame una presentación general,"Esta es una plataforma educativa única que combina matemáticas con inteligencia artificial. Usas gestos de manos para representar números, la cámara los reconoce, y puedes resolver operaciones de forma visual e interactiva. Incluye cursos, progreso personalizado y herramientas avanzadas.",landing_page,1.0,comprehensive_training,24,2025-09-29T15:47:00.537240
qué es esto,"Esta es una plataforma educativa revolucionaria que enseña matemáticas usando reconocimiento de gestos con tu cámara. Muestras números con las manos y la IA los reconoce para resolver operaciones. Es perfecta para estudiantes, docentes y cualquiera que quiera aprender de forma interactiva.",platform_info,1.0,comprehensive_training,25,2025-09-29T15:47:00.537268
para qué sirve,"Sirve para aprender y practicar matemáticas de forma interactiva usando gestos de manos. Es perfecta para estudiantes que quieren una experiencia visual, docentes que buscan herramientas innovadoras, y padres que quieren ayudar a sus hijos con las matemáticas.",platform_info,1.0,comprehensive_training,26,2025-09-29T15:47:00.537294
qué contiene,"Contiene: entrenamiento de gestos para números 0-9, operaciones matemáticas (suma, resta, multiplicación), cursos estructurados, panel de progreso, modelos de IA guardados, y herramientas de administración. Todo optimizado para móvil y escritorio.",platform_info,1.0,comprehensive_training,27,2025-09-29T15:47:00.537320
para quién es,"Es para estudiantes de todas las edades, docentes innovadores, padres que quieren ayudar con las tareas, y cualquier persona curiosa por experimentar con tecnología educativa y reconocimiento de gestos.",platform_info,1.0,comprehensive_training,28,2025-09-29T15:47:00.537341
características,"Las características principales son: reconocimiento de gestos en tiempo real, cursos interactivos, entrenamiento personalizado, interfaz moderna y responsive, seguimiento de progreso, múltiples niveles de dificultad, y integración con cámara web.",platform_info,1.0,comprehensive_training,29,2025-09-29T15:47:00.537366
quiero registrarme,¡Perfecto! Para registrarte ve a la sección de autenticación (/auth) donde puedes crear tu cuenta nueva. Solo necesitas un email y contraseña. También tenemos opciones avanzadas como reconocimiento facial.,authentication,1.0,comprehensive_training,30,2025-09-29T15:47:00.537388
necesito iniciar sesión,"Para iniciar sesión dirígete a /auth donde encontrarás el formulario de login. Ingresa tu email y contraseña, o usa nuestras opciones de autenticación avanzada si las tienes configuradas.",authentication,1.0,comprehensive_training,31,2025-09-29T15:47:00.537410
entrar a mi cuenta,"Para entrar a tu cuenta ve a /auth, ingresa tus credenciales en el formulario de inicio de sesión, y accederás directamente a tu panel personalizado con todo tu progreso guardado.",authentication,1.0,comprehensive_training,32,2025-09-29T15:47:00.537431
no sé cómo acceder,"¡Te ayudo! Para acceder: 1) Ve a /auth, 2) Si tienes cuenta, usa 'Iniciar Sesión', 3) Si no tienes cuenta, selecciona 'Registrarse', 4) Completa el formulario y listo.",authentication,1.0,comprehensive_training,33,2025-09-29T15:47:00.537453
dónde me registro,"El registro está en la sección de autenticación (/auth). Ahí encontrarás el formulario para crear tu cuenta nueva con email, contraseña y datos básicos. Es muy rápido y sencillo.",authentication,1.0,comprehensive_training,34,2025-09-29T15:47:00.537475
cómo puedo crear una cuenta,"Para crear una cuenta: 1) Ve a /auth, 2) Selecciona 'Registrarse', 3) Completa el formulario con email y contraseña, 4) Confirma tu registro, 5) ¡Ya puedes empezar a aprender!",authentication,1.0,comprehensive_training,35,2025-09-29T15:47:00.537497
haz que inicie sesión,"Te dirijo al inicio de sesión: ve a /auth, ingresa tu email y contraseña en el formulario correspondiente, y accederás a tu panel personalizado con todos tus cursos y progreso.",authentication,1.0,comprehensive_training,36,2025-09-29T15:47:00.537518
quiero loguearme,Para loguearte ve a /auth donde está el formulario de inicio de sesión. Ingresa tus credenciales y accederás inmediatamente a tu espacio personal de aprendizaje.,authentication,1.0,comprehensive_training,37,2025-09-29T15:47:00.537537
dónde está el login,El login está en la sección de autenticación (/auth). Es la página principal para iniciar sesión donde ingresas tu email y contraseña para acceder a tu cuenta.,authentication,1.0,comprehensive_training,38,2025-09-29T15:47:00.537557
ayúdame a registrarme,"¡Claro! Te guío paso a paso: 1) Ve a /auth, 2) Haz clic en 'Registrarse', 3) Ingresa tu email, 4) Crea una contraseña segura, 5) Completa datos adicionales, 6) Confirma tu registro.",authentication,1.0,comprehensive_training,39,2025-09-29T15:47:00.537580
cómo entro,"Para entrar: 1) Ve a /auth, 2) Si tienes cuenta, usa el formulario de 'Iniciar Sesión', 3) Si no tienes cuenta, primero regístrate, 4) Una vez dentro, accederás a tu panel personal.",authentication,1.0,comprehensive_training,40,2025-09-29T15:47:00.537604
quiero hacer sign in,"Para hacer sign in (iniciar sesión) ve a /auth, completa el formulario con tu email y contraseña, y accederás a tu cuenta con todo tu progreso y configuraciones guardadas.",authentication,1.0,comprehensive_training,41,2025-09-29T15:47:00.537625
puedo usar mi rostro para entrar,¡Sí! Tenemos reconocimiento facial como opción avanzada de autenticación. Ve a /auth y busca la opción de 'Autenticación Facial' para configurar esta funcionalidad innovadora.,authentication,1.0,comprehensive_training,42,2025-09-29T15:47:00.537646
ingresar con reconocimiento facial,"El reconocimiento facial está disponible en /auth como método de autenticación avanzado. Primero debes configurarlo en tu perfil, luego podrás usarlo para ingresar de forma rápida y segura.",authentication,1.0,comprehensive_training,43,2025-09-29T15:47:00.537668
acceder a mi usuario,"Para acceder a tu usuario ve a /auth, ingresa tus credenciales en el formulario de inicio de sesión, y accederás a tu perfil personal con todos tus datos, progreso y configuraciones.",authentication,1.0,comprehensive_training,44,2025-09-29T15:47:00.537691
crea una cuenta nueva,"Para crear una cuenta nueva: 1) Ve a /auth, 2) Selecciona 'Registrarse', 3) Completa todos los campos requeridos, 4) Acepta términos y condiciones, 5) Confirma tu email si es necesario.",authentication,1.0,comprehensive_training,45,2025-09-29T15:47:00.537714
no recuerdo cómo se inicia sesión,"¡No te preocupes! Para iniciar sesión: 1) Ve a /auth, 2) Busca el formulario 'Iniciar Sesión', 3) Ingresa tu email y contraseña, 4) Si olvidaste tu contraseña, usa 'Recuperar Contraseña'.",authentication,1.0,comprehensive_training,46,2025-09-29T15:47:00.537738
guíame para entrar,"Te guío paso a paso: 1) Dirígete a /auth, 2) Si tienes cuenta, completa el formulario de login, 3) Si no tienes cuenta, regístrate primero, 4) Una vez dentro, explora tu panel personal.",authentication,1.0,comprehensive_training,47,2025-09-29T15:47:00.537762
abrir el login,El login se abre en /auth donde encontrarás el formulario de inicio de sesión. Ingresa tu email y contraseña para acceder a tu cuenta y comenzar tu experiencia de aprendizaje.,authentication,1.0,comprehensive_training,48,2025-09-29T15:47:00.537782
quiero autenticarme,"Para autenticarte ve a /auth donde tienes múltiples opciones: login tradicional con email/contraseña, reconocimiento facial, o crear una cuenta nueva si no tienes una.",authentication,1.0,comprehensive_training,49,2025-09-29T15:47:00.537802
llévame a mi panel,"Te dirijo a tu panel personal (/dashboard) donde verás tu progreso completo, cursos activos, estadísticas de aprendizaje y actividades recomendadas personalizadas para ti.",dashboard,1.0,comprehensive_training,50,2025-09-29T15:47:00.537822
ver mi progreso,"En tu panel (/dashboard) puedes ver todo tu progreso: cursos completados, tiempo de estudio, precisión en gestos, logros desbloqueados y tu evolución en el aprendizaje matemático.",dashboard,1.0,comprehensive_training,51,2025-09-29T15:47:00.537843
qué actividades tengo pendientes,"En tu dashboard (/dashboard) encontrarás todas tus actividades pendientes: lecciones por completar, ejercicios de gestos recomendados y cursos que puedes continuar.",dashboard,1.0,comprehensive_training,52,2025-09-29T15:47:00.537864
mostrar mi tablero,"Tu tablero personal está en /dashboard donde tienes una vista completa de tu experiencia: progreso, estadísticas, cursos activos y recomendaciones personalizadas.",dashboard,1.0,comprehensive_training,53,2025-09-29T15:47:00.537883
ir al dashboard,"Te llevo al dashboard (/dashboard), tu centro de control personal donde puedes ver todo tu progreso, acceder a cursos y revisar tus estadísticas de aprendizaje.",dashboard,1.0,comprehensive_training,54,2025-09-29T15:47:00.537902
quiero revisar mi progreso,"Para revisar tu progreso ve a /dashboard donde encontrarás gráficos detallados, porcentajes de completado, tiempo invertido y tu evolución en cada área de matemáticas.",dashboard,1.0,comprehensive_training,55,2025-09-29T15:47:00.537922
ver mis estadísticas,"Tus estadísticas completas están en /dashboard: precisión en reconocimiento de gestos, tiempo de estudio, cursos completados, logros obtenidos y análisis de tu rendimiento.",dashboard,1.0,comprehensive_training,56,2025-09-29T15:47:00.537943
dónde están mis métricas,"Todas tus métricas están centralizadas en /dashboard: métricas de aprendizaje, estadísticas de gestos, progreso por curso y análisis de tu desempeño académico.",dashboard,1.0,comprehensive_training,57,2025-09-29T15:47:00.537963
enséñame el panel,"Te muestro tu panel en /dashboard donde tienes acceso a: resumen de progreso, cursos activos, estadísticas personales, actividades recomendadas y configuraciones de cuenta.",dashboard,1.0,comprehensive_training,58,2025-09-29T15:47:00.537983
qué tengo para hoy,"En tu dashboard (/dashboard) verás las actividades recomendadas para hoy: lecciones sugeridas, ejercicios de gestos pendientes y objetivos diarios personalizados.",dashboard,1.0,comprehensive_training,59,2025-09-29T15:47:00.538003
quiero ver mis avances,"Tus avances están detallados en /dashboard con gráficos interactivos que muestran tu progreso en cada curso, mejoras en reconocimiento de gestos y logros alcanzados.",dashboard,1.0,comprehensive_training,60,2025-09-29T15:47:00.538022
abrir mi tablero principal,"Tu tablero principal se abre en /dashboard, tu espacio personal donde controlas toda tu experiencia de aprendizaje: cursos, progreso, estadísticas y configuraciones.",dashboard,1.0,comprehensive_training,61,2025-09-29T15:47:00.538042
ir a la página central,"La página central es tu dashboard (/dashboard), el hub principal donde accedes a todos tus cursos, ves tu progreso y encuentras actividades personalizadas.",dashboard,1.0,comprehensive_training,62,2025-09-29T15:47:00.538062
dame un resumen de mis cursos,"En /dashboard tienes un resumen completo de tus cursos: cuáles has completado, en cuáles estás trabajando, tu progreso en cada uno y recomendaciones de próximos pasos.",dashboard,1.0,comprehensive_training,63,2025-09-29T15:47:00.538092
quiero ver mis actividades recomendadas,"Las actividades recomendadas están en tu dashboard (/dashboard), personalizadas según tu progreso: ejercicios de gestos, lecciones sugeridas y desafíos adaptados a tu nivel.",dashboard,1.0,comprehensive_training,64,2025-09-29T15:47:00.538113
muéstrame mi progreso,"Tu progreso completo está visualizado en /dashboard con gráficos detallados, porcentajes de avance, tiempo invertido y comparativas de tu evolución en el tiempo.",dashboard,1.0,comprehensive_training,65,2025-09-29T15:47:00.538133
panel de control,"Tu panel de control está en /dashboard donde tienes acceso completo a: gestión de cursos, configuraciones de cuenta, estadísticas de aprendizaje y herramientas personalizadas.",dashboard,1.0,comprehensive_training,66,2025-09-29T15:47:00.538152
ir a mi área personal,"Tu área personal es /dashboard, tu espacio privado donde encuentras todo personalizado: progreso, cursos, configuraciones, estadísticas y recomendaciones únicas para ti.",dashboard,1.0,comprehensive_training,67,2025-09-29T15:47:00.538173
mostrar acceso a cursos,"El acceso a todos tus cursos está en /dashboard donde puedes ver: cursos activos, completados, disponibles para empezar y recomendaciones basadas en tu progreso.",dashboard,1.0,comprehensive_training,68,2025-09-29T15:47:00.538192
qué me recomiendas hoy,"En tu dashboard (/dashboard) encontrarás recomendaciones diarias personalizadas: lecciones sugeridas según tu progreso, ejercicios de gestos para practicar y objetivos alcanzables.",dashboard,1.0,comprehensive_training,69,2025-09-29T15:47:00.538212
quiero practicar gestos,¡Perfecto! Ve a la sección de aritmética (/arithmetic) donde puedes practicar gestos matemáticos con tu cámara. El sistema reconocerá tus señas de números y operaciones en tiempo real.,arithmetic_gestures,1.0,comprehensive_training,70,2025-09-29T15:47:00.538233
resolver sumas con la cámara,En /arithmetic puedes resolver sumas usando gestos con tu cámara. Muestra los números con tus dedos y el sistema los reconocerá para crear operaciones matemáticas interactivas.,arithmetic_gestures,1.0,comprehensive_training,71,2025-09-29T15:47:00.538255
entrenar números con la mano,El entrenamiento de números con la mano está en /arithmetic. Usa tu cámara para mostrar números del 0-10 con tus dedos y el sistema aprenderá a reconocer tus gestos personalizados.,arithmetic_gestures,1.0,comprehensive_training,72,2025-09-29T15:47:00.538276
hacer operaciones con gestos,"En /arithmetic puedes hacer todas las operaciones básicas (suma, resta, multiplicación, división) usando gestos con tus manos. La cámara detecta tus movimientos y los convierte en matemáticas.",arithmetic_gestures,1.0,comprehensive_training,73,2025-09-29T15:47:00.538298
practicar aritmética,La práctica de aritmética está en /arithmetic donde combinas aprendizaje tradicional con reconocimiento de gestos. Es una forma innovadora e interactiva de aprender matemáticas.,arithmetic_gestures,1.0,comprehensive_training,74,2025-09-29T15:47:00.538318
abrir la cámara para gestos,Para abrir la cámara para gestos ve a /arithmetic y activa la función de reconocimiento. Asegúrate de tener buena iluminación y que tu cámara esté funcionando correctamente.,arithmetic_gestures,1.0,comprehensive_training,75,2025-09-29T15:47:00.538338
quiero entrenar mis señas,El entrenamiento de señas está en /arithmetic donde puedes enseñar al sistema tus gestos personalizados para números y operaciones. Cada persona tiene señas únicas que el sistema aprende.,arithmetic_gestures,1.0,comprehensive_training,76,2025-09-29T15:47:00.538360
reconocer mis números con la mano,"En /arithmetic el sistema reconoce números del 0-10 que muestres con tu mano. Usa dedos claros, buena iluminación y posición frontal para mejor reconocimiento.",arithmetic_gestures,1.0,comprehensive_training,77,2025-09-29T15:47:00.538381
dónde hago ejercicios con gestos,"Los ejercicios con gestos están en /arithmetic. Ahí encontrarás diferentes niveles de dificultad, desde números básicos hasta operaciones complejas, todo usando tu cámara.",arithmetic_gestures,1.0,comprehensive_training,78,2025-09-29T15:47:00.538403
empezar a entrenar gestos,"Para empezar el entrenamiento de gestos ve a /arithmetic, activa tu cámara, y sigue las instrucciones para calibrar el sistema con tus gestos personalizados de números.",arithmetic_gestures,1.0,comprehensive_training,79,2025-09-29T15:47:00.538423
probar el reconocimiento de la mano,Puedes probar el reconocimiento de mano en /arithmetic. El sistema detecta la posición de tus dedos y los convierte en números. Asegúrate de tener buena visibilidad de tu mano.,arithmetic_gestures,1.0,comprehensive_training,80,2025-09-29T15:47:00.538446
puedo usar la cámara ahora,¡Sí! Ve a /arithmetic para usar la cámara inmediatamente. Verifica que tu navegador tenga permisos de cámara activados y que tengas buena iluminación para mejor reconocimiento.,arithmetic_gestures,1.0,comprehensive_training,81,2025-09-29T15:47:00.538467
quiero practicar operaciones,"La práctica de operaciones está en /arithmetic donde puedes hacer sumas, restas, multiplicaciones y divisiones usando gestos. Es aprendizaje matemático interactivo y divertido.",arithmetic_gestures,1.0,comprehensive_training,82,2025-09-29T15:47:00.538488
entrenamiento de gestos matemáticos,"El entrenamiento de gestos matemáticos está en /arithmetic. Aprende a usar tus manos para representar números y operaciones, creando una experiencia de aprendizaje única e innovadora.",arithmetic_gestures,1.0,comprehensive_training,83,2025-09-29T15:47:00.538509
hacer cuentas con mis dedos,"En /arithmetic puedes hacer cuentas reales con tus dedos. El sistema reconoce tus gestos y los convierte en operaciones matemáticas, combinando métodos tradicionales con tecnología moderna.",arithmetic_gestures,1.0,comprehensive_training,84,2025-09-29T15:47:00.538531
practicar multiplicaciones con la cámara,Las multiplicaciones con cámara están en /arithmetic. Usa gestos para representar los números y el sistema creará las operaciones de multiplicación automáticamente.,arithmetic_gestures,1.0,comprehensive_training,85,2025-09-29T15:47:00.538551
no me reconoce la cámara,"Si no te reconoce la cámara en /arithmetic, verifica: 1) Permisos de cámara en el navegador, 2) Buena iluminación, 3) Posición frontal de la mano, 4) Que no haya obstáculos.",arithmetic_gestures,1.0,comprehensive_training,86,2025-09-29T15:47:00.538573
el sistema no detecta mi mano,"Para mejorar la detección en /arithmetic: 1) Asegúrate de tener buena luz, 2) Mantén la mano en el área de detección, 3) Usa gestos claros, 4) Calibra el sistema si es necesario.",arithmetic_gestures,1.0,comprehensive_training,87,2025-09-29T15:47:00.538595
ayuda con los gestos,"En /arithmetic tienes ayuda completa para gestos: tutoriales paso a paso, ejemplos visuales, calibración personalizada y tips para mejorar el reconocimiento de tus señas.",arithmetic_gestures,1.0,comprehensive_training,88,2025-09-29T15:47:00.538615
quiero probar operaciones con señas,"Las operaciones con señas están en /arithmetic donde puedes experimentar con diferentes combinaciones de gestos para crear sumas, restas, multiplicaciones y divisiones interactivas.",arithmetic_gestures,1.0,comprehensive_training,89,2025-09-29T15:47:00.538636
practicar divisiones con la cámara,"Las divisiones con cámara están disponibles en /arithmetic. Usa gestos para los números y el sistema creará operaciones de división, ayudándote a visualizar este concepto matemático.",arithmetic_gestures,1.0,comprehensive_training,90,2025-09-29T15:47:00.538657
cómo entreno un gesto nuevo,"Para entrenar un gesto nuevo en /arithmetic: 1) Ve a la sección de calibración, 2) Selecciona 'Nuevo Gesto', 3) Repite el movimiento varias veces, 4) El sistema aprenderá tu seña personalizada.",arithmetic_gestures,1.0,comprehensive_training,91,2025-09-29T15:47:00.538681
quiero enseñar al sistema mi mano,"En /arithmetic puedes enseñar al sistema tu mano específica. Cada persona tiene gestos únicos, y el sistema se adapta a tu forma particular de mostrar números y operaciones.",arithmetic_gestures,1.0,comprehensive_training,92,2025-09-29T15:47:00.538702
hacer práctica con señas,"La práctica con señas está en /arithmetic con ejercicios progresivos: desde números básicos hasta operaciones complejas, todo adaptado a tu nivel y estilo de gestos.",arithmetic_gestures,1.0,comprehensive_training,93,2025-09-29T15:47:00.538723
qué tan preciso es el reconocimiento,"El reconocimiento en /arithmetic tiene alta precisión cuando se usa correctamente: buena iluminación, gestos claros y calibración personalizada. La precisión mejora con la práctica.",arithmetic_gestures,1.0,comprehensive_training,94,2025-09-29T15:47:00.538746
practicar ejercicios visuales,"Los ejercicios visuales están en /arithmetic donde combinas reconocimiento de gestos con elementos gráficos interactivos, creando una experiencia de aprendizaje multisensorial.",arithmetic_gestures,1.0,comprehensive_training,95,2025-09-29T15:47:00.538765
hacer cálculos con los dedos,"En /arithmetic puedes hacer cálculos reales con los dedos. El sistema convierte tus gestos en números y operaciones, manteniendo la conexión natural entre manos y matemáticas.",arithmetic_gestures,1.0,comprehensive_training,96,2025-09-29T15:47:00.538786
abrir la sección de aritmética,"La sección de aritmética se abre en /arithmetic donde encontrarás todas las herramientas para aprender matemáticas con gestos: cámara, ejercicios, tutoriales y práctica interactiva.",arithmetic_gestures,1.0,comprehensive_training,97,2025-09-29T15:47:00.538808
ver mis modelos,"Tus modelos guardados están en /models donde puedes ver todos los gestos que has entrenado, su precisión, fecha de creación y estadísticas de uso. Es tu biblioteca personal de gestos.",saved_models,1.0,comprehensive_training,98,2025-09-29T15:47:00.538830
dónde están mis gestos guardados,"Todos tus gestos guardados están centralizados en /models. Ahí encontrarás cada gesto que has entrenado con detalles como precisión, número de entrenamientos y última fecha de uso.",saved_models,1.0,comprehensive_training,99,2025-09-29T15:47:00.538853
mostrar mis entrenamientos,"Tus entrenamientos están listados en /models con información completa: gestos aprendidos, sesiones de práctica, mejoras en precisión y evolución de tu aprendizaje gestual.",saved_models,1.0,comprehensive_training,100,2025-09-29T15:47:00.538873
abrir la lista de modelos,"La lista completa de modelos se abre en /models donde puedes navegar por todos tus gestos guardados, organizados por fecha, precisión o frecuencia de uso.",saved_models,1.0,comprehensive_training,101,2025-09-29T15:47:00.538894
quiero ver mis registros,"Tus registros de entrenamiento están en /models con historial detallado: cuándo entrenaste cada gesto, cuántas veces lo has usado y qué tan preciso es el reconocimiento.",saved_models,1.0,comprehensive_training,102,2025-09-29T15:47:00.538914
enséñame mis gestos grabados,"En /models puedes ver todos tus gestos grabados con previsualizaciones, estadísticas de uso y opciones para editarlos, eliminarlos o mejorar su entrenamiento.",saved_models,1.0,comprehensive_training,103,2025-09-29T15:47:00.538934
revisar mis modelos guardados,"Para revisar tus modelos guardados ve a /models donde tienes acceso completo a: gestión de gestos, estadísticas de rendimiento, opciones de edición y herramientas de optimización.",saved_models,1.0,comprehensive_training,104,2025-09-29T15:47:00.538957
mostrar mis datos de entrenamiento,"Tus datos de entrenamiento están detallados en /models: número de muestras por gesto, precisión alcanzada, tiempo invertido y recomendaciones para mejorar.",saved_models,1.0,comprehensive_training,105,2025-09-29T15:47:00.538976
ver configuraciones de gestos,"Las configuraciones de gestos están en /models donde puedes ajustar sensibilidad, calibrar reconocimiento, modificar parámetros y personalizar cada gesto según tus necesidades.",saved_models,1.0,comprehensive_training,106,2025-09-29T15:47:00.538996
puedo borrar un gesto guardado,"¡Sí! En /models puedes borrar gestos guardados. Selecciona el gesto que quieres eliminar y confirma la acción. Ten cuidado, esta acción no se puede deshacer.",saved_models,1.0,comprehensive_training,107,2025-09-29T15:47:00.539017
quiero actualizar mis modelos,"Para actualizar tus modelos ve a /models, selecciona el gesto que quieres mejorar y usa la opción 'Reentrenar'. Esto mejorará la precisión con nuevas muestras.",saved_models,1.0,comprehensive_training,108,2025-09-29T15:47:00.539039
lista de mis entrenamientos,"La lista completa de entrenamientos está en /models organizada cronológicamente, mostrando progreso, mejoras en precisión y recomendaciones para optimizar cada gesto.",saved_models,1.0,comprehensive_training,109,2025-09-29T15:47:00.539058
abrir la colección de gestos,Tu colección personal de gestos se abre en /models donde tienes una galería visual de todos tus gestos entrenados con opciones de gestión y estadísticas detalladas.,saved_models,1.0,comprehensive_training,110,2025-09-29T15:47:00.539078
mis modelos personalizados,"Tus modelos personalizados están en /models, únicos para ti y adaptados a tu forma específica de hacer gestos. Cada modelo refleja tu estilo personal de señas matemáticas.",saved_models,1.0,comprehensive_training,111,2025-09-29T15:47:00.539099
ver historial de gestos entrenados,"El historial completo está en /models con línea de tiempo de tu aprendizaje: cuándo empezaste cada gesto, cómo ha mejorado tu precisión y tu evolución gestual.",saved_models,1.0,comprehensive_training,112,2025-09-29T15:47:00.539120
qué cursos hay,"Los cursos disponibles incluyen: Matemáticas Básicas (aritmética, suma, resta, multiplicación, división), Reconocimiento de Gestos (entrenar números del 0 al 9), y Panel de Progreso para revisar avances.",courses,1.0,comprehensive_training,113,2025-09-29T15:47:00.539143
