id,text,intent,category,response,confidence,created_at,updated_at,source
manual_2025-09-29T16:33:58.752413_23,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_24,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_25,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_26,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_27,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_28,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_29,,,Autenticación,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_30,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_31,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_32,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_33,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_34,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_35,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_36,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_37,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_38,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_39,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_40,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_41,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_42,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_43,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_44,,,Panel principal,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_45,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_46,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_47,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_48,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_49,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_50,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_51,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_52,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_53,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_54,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_55,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_56,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_57,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_58,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_59,,,Aritmética y gestos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_60,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_61,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_62,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_63,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_64,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_65,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_66,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_67,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_68,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_69,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_70,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_71,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_72,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_73,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_74,,,Modelos guardados,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_75,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_76,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_77,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_78,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_79,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_80,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_81,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_82,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_83,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_84,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_85,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_86,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_87,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_88,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_89,,,Cursos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_90,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_91,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_92,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_93,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_94,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_95,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_96,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_97,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_98,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_99,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_100,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_101,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_102,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_103,,,Casos ambiguos,,0.95,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_104,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_105,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_106,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_107,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_108,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_109,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_110,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_111,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_112,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_113,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_114,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_115,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_116,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_117,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_118,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_119,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_120,,,Fuera de contexto,,0.99,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
manual_2025-09-29T16:33:58.752413_121,,,Casos ambiguos,,0.85,2025-09-29T16:33:58.752413,2025-09-29T16:33:58.752413,manual
